Id,SalePrice
1461,112868.20475873095
1462,162763.11311209248
1463,188177.29386547417
1464,194869.6359735115
1465,204813.79061737878
1466,171557.61440167797
1467,180308.02228285628
1468,156735.75683369616
1469,208015.4796911492
1470,113656.88260207162
1471,155352.03867822466
1472,96052.98864180397
1473,93644.7566266054
1474,145601.07150770945
1475,107380.42361694528
1476,374256.25781492493
1477,261737.2375015684
1478,312344.0032188778
1479,301835.6474265414
1480,487666.4523326268
1481,311953.9511910394
1482,203139.62410303438
1483,176306.37655692082
1484,161798.1920804634
1485,175857.23667880276
1486,188480.0306986738
1487,333196.7903222812
1488,224930.84720403387
1489,203381.21887724195
1490,255768.0460230778
1491,198340.25223340513
1492,104737.64540030924
1493,189673.3624171008
1494,313257.8435238134
1495,292404.5450446331
1496,246742.09269233025
1497,176095.94431170553
1498,174364.0654604648
1499,161929.66415838152
1500,148449.21167564904
1501,196130.71090996428
1502,134975.45886264637
1503,353009.33770761197
1504,234296.57255149458
1505,224450.64823969547
1506,192360.81384901516
1507,255421.94985969237
1508,196934.93434928358
1509,155084.13035328826
1510,142823.11324337602
1511,160630.58753608481
1512,180481.42633045698
1513,147964.37355341355
1514,171015.07471104455
1515,206692.58301980235
1516,153811.93524896377
1517,173622.80369457218
1518,122881.69971104455
1519,213642.9640733665
1520,127641.24129142403
1521,136571.09334141272
1522,188405.4830662409
1523,108588.03511412092
1524,122624.87626124662
1525,120901.77398184803
1526,108347.0304350215
1527,107727.61976343079
1528,132793.71521508787
1529,162279.3837855436
1530,202235.40094196645
1531,131097.35916554276
1532,93020.80908604455
1533,160219.69710879633
1534,111148.58564206236
1535,145896.67175765417
1536,93850.91694877436
1537,49527.63906657393
1538,152936.62718683446
1539,207529.29104904062
1540,116279.78564854455
1541,144966.79863349383
1542,156345.76786523242
1543,187987.0665239048
1544,71092.3013826668
1545,115086.93438463553
1546,136133.35083443474
1547,129590.07061667135
1548,145234.50667906483
1549,127014.15792793815
1550,142908.73809014948
1551,105453.85392848635
1552,165423.50111365528
1553,157576.16846104455
1554,119402.77851644752
1555,163366.7509576769
1556,56641.22125720419
1557,141776.59814854455
1558,107038.92839252867
1559,62797.98096104455
1560,124387.74858486559
1561,153818.69971104455
1562,128492.65814419487
1563,129415.43410199229
1564,168096.94971104455
1565,159047.32945151522
1566,230914.7168525973
1567,75164.06671070843
1568,226956.4086826346
1569,134660.466186648
1570,128325.38834846392
1571,82947.01664166176
1572,154033.40783389413
1573,259652.8197411371
1574,137600.85492735496
1575,234555.33425871795
