Id,SalePrice
1461,124214.77
1462,151032.56
1463,178840.19
1464,184094.31
1465,199171.86
1466,175187.33
1467,163720.27
1468,163591.38
1469,182182.38
1470,122551.664
1471,186594.53
1472,93563.91
1473,98890.32
1474,156637.53
1475,132828.78
1476,366595.38
1477,252822.8
1478,295116.72
1479,228704.5
1480,509282.12
1481,322137.84
1482,209130.31
1483,168425.47
1484,166906.55
1485,161617.48
1486,195650.23
1487,312223.34
1488,236769.0
1489,192581.72
1490,190203.36
1491,187316.73
1492,96108.29
1493,186895.86
1494,284916.84
1495,288046.12
1496,214107.16
1497,183012.45
1498,153202.42
1499,154352.17
1500,148293.12
1501,174067.67
1502,159318.17
1503,274803.34
1504,229700.97
1505,213624.58
1506,184075.92
1507,241665.47
1508,197212.64
1509,161278.31
1510,146124.73
1511,145504.3
1512,171718.97
1513,155052.14
1514,153395.67
1515,182914.97
1516,167507.05
1517,148290.98
1518,129283.05
1519,214386.73
1520,134413.2
1521,140113.22
1522,172919.25
1523,114700.52
1524,122248.375
1525,127960.07
1526,128660.68
1527,103318.24
1528,131148.8
1529,140583.36
1530,172440.64
1531,121134.195
1532,98234.85
1533,136181.67
1534,116683.586
1535,152913.19
1536,122373.11
1537,80348.92
1538,176736.78
1539,196172.6
1540,102341.24
1541,148162.12
1542,139265.08
1543,201985.27
1544,80428.32
1545,104492.195
1546,123646.2
1547,126918.4
1548,124530.6
1549,115391.125
1550,139575.25
1551,116373.18
1552,132543.98
1553,137773.61
1554,115691.35
1555,169342.88
1556,91194.57
1557,125261.586
1558,95606.63
1559,107459.63
1560,143864.14
1561,132890.94
1562,126606.516
1563,122766.76
1564,150736.12
1565,151425.89
1566,221060.08
1567,78465.625
1568,216867.81
1569,120382.86
1570,134729.1
1571,131893.44
1572,148986.33
1573,229382.45
1574,106071.88
1575,211752.45
1576,218791.78
1577,185643.06
1578,158300.72
1579,135175.5
1580,185399.02
1581,135888.31
1582,125137.53
1583,326448.7
1584,230220.72
1585,141288.6
1586,73113.67
1587,103367.24
1588,149387.45
1589,91395.88
1590,133246.48
1591,100414.625
1592,117427.8
1593,125411.39
1594,145634.44
1595,110372.04
1596,229613.67
1597,171931.58
1598,190164.97
1599,178592.12
1600,182940.77
1601,67653.88
1602,116029.67
1603,91382.83
1604,272556.75
1605,251978.38
1606,163159.14
